Symbol,Open
LEN,46.92
LVLT,55.64
LUK,24.64
LLY,77.34
LNC,58.02
LLTC,46.65
L,40.55
LO,71.49
LOW,70.04
LYB,100.84
MTB,121.92
MAC,81.43
M,68.73
MNK,128.58
MRO,26.88
MPC,101.33
MAR,78.85
MMC,58.42
MLM,146.9
MAS,27.55
MA,92.95
MAT,25.55
MKC,77.99
MCD,96.3
MHFI,103.2
MCK,235.94
MJN,95.8
MWV,49.09
MDT,76.36
MRK,59.96
MET,53.4
KORS,48.1
MCHP,47.67
MU,26.9
MSFT,46.79
MHK,188.67
TAP,74.32
MDLZ,40.79
MON,114.23
MNST,125.3
MCO,108.76
MS,38.63
MOS,45.1
MSI,59.24
MUR,42.33
MYL,72
NDAQ,51.76
NOV,49.3
NAVI,19.35
NTAP,33.01
NFLX,618.65
NFX,36.01
NEM,26.12
NWSA,15.17
NEE,99.86
NLSN,45.08
NKE,102.06
NI,45.83
NE,16.98
JWN,72.74
NSC,92.01
NTRS,74.74
NOC,158.87
NRG,24.58
NUE,49.34
NVDA,21.57
ORLY,223.11
OXY,77.84
OMC,74.62
OKE,40.4
ORCL,43.74
OI,24.29
PCAR,64.07
PLL,124.54
PH,120.7
PDCO,47.98
PAYX,48.98
PNR,63.24
PBCT,15.73
POM,26.98
PEP,95.01
PKI,52.79
PRGO,195.75
PFE,34.2
PCG,51.77
PM,82.41
PSX,77.71
PNW,58.19
PXD,149.57
PBI,21.86
PCL,41.05
PNC,95.59
RL,135.95
PPG,228.93
PPL,31.42
PX,120.9
PCP,216.44
PCLN,1183.89
PFG,52.46
PG,78.41
PGR,27.44
PLD,39.88
PRU,86.28
PEG,41.2
PSA,192.57
PHM,19.2
PVH,114.32
QEP,18.63
PWR,29.85
QCOM,69.36
DGX,74.28
RRC,54.79
RTN,101.39
O,45.21
RHT,77.17
REGN,510.84
RF,10.25
RSG,39.92
RAI,74.17
RHI,56.62
ROK,125.69
COL,94.38
ROP,175.83
ROST,97.45
RCL,78.43
R,92.89
CRM,72.91
SNDK,67.07
SCG,51.55
SLB,90.84
SNI,66.84
STX,55.63
SEE,48.36
SRE,103.44
SHW,285.84
SIAL,138.71
SPG,178.49
SWKS,104.43
SLG,118.41
SJM,115.68
SNA,155.86
SO,42.91
LUV,37.56
SWN,24.64
SE,34.62
STJ,74.03
SWK,103.4
SPLS,16.52
SBUX,51.87
HOT,83.28
STT,77.95
SRCL,137.53
SYK,95.77
STI,42.68
SYMC,24.13
SYY,37.57
TROW,79.81
TGT,79.98
TEL,69.2
TE,18.24
THC,52.15
TDC,39.63
TSO,84
TXN,54.66
TXT,45
HSY,91.27
TRV,100.11
TMO,129.03
TIF,93.5
TWX,85.65
TWC,175.62
TJX,64.65
TMK,57.29
TSS,41.34
TSCO,89.68
RIG,18.95
TRIP,74.68
FOXA,33.33
TSN,41.76
TYC,40.24
USB,43.79
UA,77.9
UNP,101.08
UNH,117.92
UPS,100.05
URI,90.85
UTX,117.83
UHS,128.7
UNM,35.78
URBN,35.91
VFC,70.63
VLO,57.35
VAR,87.29
VTR,64.76
VRSN,62.75
VZ,47.88
VRTX,125.84
VIAB,67.77
V,68.63
VNO,99.37
VMC,88.39
WMT,74.46
WBA,86.11
DIS,110.95
WM,49
WAT,134.49
ANTM,162.54
WFC,56.53
WDC,97.3
WU,22.05
WY,31.79
WHR,187.86
WFM,40.89
WMB,49.5
WEC,46.55
WYN,85
WYNN,105.63
XEL,32.7
XRX,11.48
XLNX,46.7
XL,37.31
XYL,36.75
YHOO,43.09
YUM,90.75
ZMH,112.93
ZION,30.86
ZTS,49.05
