Symbol,Open
ABT,48.98
ABBV,66.55
ACN,96.08
MMM,159.51
ACE,106
ACT,306.21
ADBE,79.86
ADT,36.4
AES,13.08
AET,116.01
AFL,62.42
AMG,224.83
A,40.89
GAS,48.57
APD,145.07
ARG,104.04
AKAM,75.56
AA,12.53
ALXN,160
ATI,33.08
ALLE,62.25
ADS,297.4
ALL,67.38
ALTR,51.68
MO,50.26
AMZN,434.4
AEE,39.13
AAL,43.05
AEP,54.15
AXP,80.05
AIG,60.67
AMT,92.98
AMP,124.52
ABC,111.47
AME,53.79
AMGN,156.6
APC,83.11
ADI,66.92
AON,101.29
APA,58.56
AIV,37.18
AAPL,129.58
AMAT,20.24
ADM,52.05
AIZ,66.35
T,34.92
ADSK,54.35
ADP,84.93
AN,63.59
AZO,679.92
AVGO,142.49
AVB,159.46
AVY,60.6
BHI,64.09
BLL,70.7
BAC,16.87
BK,42.82
BCR,170.77
BAX,65.61
BBT,39.77
BDX,139.84
BBBY,70.41
BBY,34.83
BIIB,385.5
BLK,362.72
HRB,31.82
BA,143.22
BWA,61.11
BXP,127.71
BSX,18.13
BMY,65.35
BRCM,54.35
CHRW,64.09
CA,29.83
CVC,23.7
COG,34
CAM,51.99
CPB,47.22
COF,83.55
CAH,87.23
HSIC,142.1
KMX,72.48
CCL,47.37
CAT,85.5
CBG,38
CBS,61.88
CELG,112.24
CNP,19.55
CTL,32.86
CERN,67.37
CF,319.92
SCHW,32.01
CHK,13.42
CVX,101.89
CMG,606.1
CB,96.56
CI,139.68
XEC,113.97
CINF,50.99
CTAS,86.15
CSCO,28.9
C,55.45
CTXS,65.89
CLX,106.76
CME,94.17
CMS,32.56
COH,35.52
KO,40.71
CCE,43.91
CTSH,65.2
CL,66.21
CMCSA,59.01
CMA,49.79
CSC,68.44
CAG,38.14
COP,63.41
CNX,27.63
ED,59.5
STZ,121.17
GLW,20.75
COST,141.37
CCI,82.21
CSX,33.89
CMI,134.58
CVS,101.2
DHI,26.23
DHR,86.56
DRI,65.17
DVA,83.63
DE,92.24
DLPH,87.97
DAL,43.4
XRAY,52.48
DVN,63.38
DO,29.88
DTV,91.48
DFS,58.48
DISCA,33.65
DISCK,31.35
DG,75.53
DLTR,78.48
D,68.26
DOV,75.32
DOW,52.6
DPS,75.81
DTE,76.36
DD,70.71
DUK,74
DNB,128.44
ETFC,30.17
EMN,77.77
ETN,72.45
EBAY,61.77
ECL,115.58
EIX,58.17
EW,131.06
EA,63.09
EMC,26.8
EMR,59.87
ENDP,84.13
ESV,23.83
ETR,73.51
EOG,88.23
EQT,84.39
EFX,98.38
EQIX,264.57
EQR,71.72
ESS,216.04
EL,87.13
ES,47.4
EXC,33.31
EXPE,105.8
EXPD,48.02
ESRX,86.09
XOM,84.7
FFIV,125.63
FB,82.14
FDO,78.29
FAST,42.36
FDX,178.9
FIS,62.19
FITB,20.48
FSLR,50.6
FE,34.35
FISV,81.14
FLIR,30.9
FLS,55.1
FLR,56.5
FMC,57.09
FTI,42.21
F,15.13
FOSL,71.7
BEN,50.65
FCX,19.65
FTR,5.36
GME,44.15
GCI,36.57
GPS,38.07
GRMN,46.13
GD,139.81
GE,27.42
GGP,27.56
GIS,55.39
GM,35.66
GPC,91.84
GNW,8.01
GILD,113.9
GS,207.6
GT,32.04
GOOGL,552.18
GOOG,537.76
GWW,241.53
HAL,45.16
HBI,31.84
HOG,54.13
HAR,122.55
HRS,78.45
HIG,41.4
HAS,72.59
HCA,80.81
HCP,38.25
HCN,69.09
HP,72.83
HES,66.3
HPQ,33.54
HD,112.52
HON,104.3
HRL,56.77
HSP,88.42
HST,20.03
HCBK,9.6
HUM,212.5
HBAN,11.24
ITW,94.48
IR,68.79
TEG,70.17
INTC,32.51
ICE,233.14
IBM,169.53
IP,50.84
IPG,20.49
IFF,113.67
INTU,106.63
ISRG,498.73
IVZ,39.56
IRM,34.06
JEC,43.88
JNJ,99.94
JCI,52.39
JOY,38.71
JPM,66.31
JNPR,27.38
KSU,93.05
K,62.01
KEY,14.55
GMCR,83.99
KMB,107.17
KIM,23.73
KMI,40.6
KLAC,58.27
KSS,64.51
KRFT,83.84
KR,72.42
LB,86.17
LLL,117.83
LH,116.63
LRCX,82.89
LM,54.43
LEG,47.32
