Symbol,Open
SRE,103.43
SHW,283.01
SIAL,138.38
SPG,177.24
SWKS,105.01
SLG,116.78
SJM,113.51
SNA,154.98
SO,42.81
LUV,37.28
SWN,24.37
SE,34.08
STJ,73.35
SWK,102.86
SPLS,16.68
SBUX,51.57
HOT,83.4
STT,78.23
SRCL,135.41
SYK,95.04
STI,43
SYMC,24.06
SYY,37.44
TROW,79.64
TGT,80.14
TEL,68.01
TE,18.03
THC,51.17
TDC,39.02
TSO,83.21
TXN,53.98
TXT,44.37
HSY,91.19
TRV,100.56
TMO,129.05
TIF,92.85
TWX,85.08
TWC,176.92
TJX,65.55
TMK,57.65
TSS,41.07
TSCO,87.93
RIG,18.53
TRIP,74.96
FOXA,33.49
TSN,41.3
TYC,40.01
USB,43.87
UA,79.4
UNP,101.8
UNH,116.33
UPS,100.15
URI,91.51
UTX,116.59
UHS,127.54
UNM,36.06
URBN,36.18
VFC,70.13
VLO,56.87
VAR,86.4
VTR,64.1
VRSN,62.76
VZ,47.96
VRTX,126.1
VIAB,68.18
V,68.29
VNO,98.75
VMC,88.34
WMT,74.17
WBA,85.04
DIS,110.3
WM,48.6
WAT,133.65
ANTM,161.4
WFC,57.04
WDC,95.4
WU,21.89
WY,31.48
WHR,187.49
WFM,40.53
WMB,48.31
WEC,45.67
WYN,84.74
WYNN,109.36
XEL,32.45
XRX,11.3
XLNX,47.03
XL,37.49
XYL,36.21
YHOO,42.83
YUM,90.37
ZMH,113
ZION,31.23
ZTS,48.7
